ISIN,Issue Date,Coupon,Maturity Date,URL,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,data_url
CA135087Q491,4/21/2023,3.25%,9/1/2028,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20241118&to=20250118"
CA135087XG49,10/15/2001,5.75%,6/1/2033,https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2033-ca135087xg49,118.37,118.27,117.76,118.335,117.27,116.58,115.99,116.58,117.43,117.76,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,1321208,1330,184&from=20241118&to=20250118"
CA135087P576,10/21/2022,3.50%,3/1/2028,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576,101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20241118&to=20250118"
CA135087M276,4/26/2021,1.50%,6/1/2031,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087m276,90.89,90.79,90.58,90.48,90.14,89.74,89.31,89.65,90.35,90.5,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20241118&to=20250118"
CA135087R713,3/1/2024,3.50%,3/1/2034,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087r713,102.19,101.85,101.54,101.54,100.86,100.37,99.92,100.5,101.32,101.66,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20241118&to=20250118"
CA135087N670,3/29/2022,2.25%,12/1/2029,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-Bond-2029-ca135087n670,96.6,96.63,96.42,96.34,96.25,95.77,95.38,95.65,96.22,96.35,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20241118&to=20250118"
CA135087N266,10/25/2021,1.50%,12/1/2031,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087n266,90.04,89.9,89.7,89.58,89.26,88.85,88.42,88.78,89.4,89.69,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114466942,1330,184&from=20241118&to=20250118"
CA135087P329,8/8/2022,2.50%,12/1/2032,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087p329,95.42,95.19,94.79,94.84,94.38,93.93,93.68,93.94,94.63,94.95,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20241118&to=20250118"
CA135087H235,8/1/2017,2.00%,6/1/2028,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-Bond-2028-ca135087h235,97.14,97.07,96.97,97.0,96.71,96.48,96.3,96.55,96.97,97.08,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20241118&to=20250118"
CA135087L443,10/5/2020,0.50%,12/1/2030,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-Bond-2030-ca135087l443,86.35,86.35,86.12,86.09,85.76,85.42,85.04,85.31,85.9,86.06,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20241118&to=20250118"
CA135087Q723,6/26/2023,3.25%,12/1/2033,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-Bond-2033-ca135087q723,100.21,99.97,99.66,99.5,99.04,98.55,98.06,98.49,99.29,99.65,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20241118&to=20250118"
CA135087R481,12/27/2023,3.00%,6/1/2034,https://markets.businessinsider.com/bonds/canadacd-bonds_202334-Bond-2034-ca135087r481,98.1,97.75,97.44,97.47,96.78,96.3,95.85,96.44,97.26,97.6,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,131843886,1330,184&from=20241118&to=20250118"
CA135087R895,4/8/2024,3.50%,9/1/2029,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895,102.22,102.14,102.04,101.98,101.59,101.28,101.0,101.27,101.85,101.97,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20241118&to=20250118"
CA135087J397,7/27/2018,2.25%,6/1/2029,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-Bond-2029-ca135087j397,97.44,97.48,97.28,97.2,96.97,96.65,96.32,96.57,97.11,97.23,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20241118&to=20250118"
CA135087S471,10/3/2024,2.75%,3/1/2030,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471,98.81,98.6,98.53,98.54,97.96,97.61,97.38,97.76,98.4,98.47,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,138913105,16,184&from=20241118&to=20250118"
CA135087N597,3/16/2022,2.00%,6/1/2032,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087n597,92.51,92.32,92.13,92.02,91.59,91.19,90.79,91.18,91.86,92.11,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117606959,1330,184&from=20241118&to=20250118"
CA135087Q988,10/13/2023,4.00%,3/1/2029,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988,104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20241118&to=20250118"
CA135087S216,7/12/2024,3.25%,12/1/2034,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087s216,99.99,99.64,99.31,99.42,98.645,98.12,97.64,98.32,99.11,99.51,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20241118&to=20250118"
CA135087WL43,2/2/1998,5.75%,6/1/2029,https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2029-ca135087wl43,111.69,111.54,111.45,111.37,110.95,110.62,110.36,110.64,111.21,111.33,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20241118&to=20250118"
CA135087D507,6/30/2014,2.25%,6/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_201425-Bond-2025-ca135087d507,99.67,99.66,99.66,99.67,99.64,99.64,99.64,99.67,99.7,99.71,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,24795156,1330,184&from=20241118&to=20250118"
CA135087P246,7/25/2022,3.00%,10/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087p246,100.0,99.98,99.98,99.99,99.91,99.88,99.86,99.91,100.0,100.01,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120634330,1330,184&from=20241118&to=20250118"
CA135087VW17,5/1/1996,8.00%,6/1/2027,https://markets.businessinsider.com/bonds/8_000-canada-government-of-Bond-2027-ca135087vw17,111.8,111.85,111.76,111.76,111.48,111.33,111.13,111.41,111.51,111.52,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20241118&to=20250118"
CA135087K528,10/11/2019,1.25%,3/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_201925-Bond-2025-ca135087k528,99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,50546643,1330,184&from=20241118&to=20250118"
CA135087K940,4/3/2020,0.50%,9/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202025-Bond-2025-ca135087k940,98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,53991397,1330,184&from=20241118&to=20250118"
CA135087N340,1/24/2022,1.50%,4/1/2025,https://markets.businessinsider.com/bonds/canadacd-bonds_202225-Bond-2025-ca135087n340,99.64,99.63,99.63,99.63,99.64,99.64,99.64,99.66,99.67,99.7,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,116204014,1330,184&from=20241118&to=20250118"
