"Date","ISIN","Maturity","CleanPrice","AccruedInterest","DirtyPrice"
2025-01-06,"CA135087Q491",2028-09-01,101.1,1.13082191780822,102.230821917808
2025-01-06,"CA135087P576",2028-03-01,101.82,1.21780821917808,103.037808219178
2025-01-06,"CA135087R895",2029-09-01,102.22,1.21780821917808,103.437808219178
2025-01-06,"CA135087Q988",2029-03-01,104.07,1.39178082191781,105.461780821918
2025-01-06,"CA135087K528",2025-03-01,99.73,0.434931506849315,100.164931506849
2025-01-06,"CA135087K940",2025-09-01,98.4,0.173972602739726,98.5739726027397
2025-01-06,"CA135087N837",2027-09-01,99.63,0.956849315068493,100.586849315068
2025-01-06,"CA135087L518",2026-03-01,96.99,0.086986301369863,97.0769863013699
2025-01-06,"CA135087L930",2026-09-01,97.01,0.347945205479452,97.3579452054795
2025-01-06,"CA135087M847",2027-03-01,96.62,0.434931506849315,97.0549315068493
2025-01-07,"CA135087Q491",2028-09-01,101.14,1.13972602739726,102.279726027397
2025-01-07,"CA135087P576",2028-03-01,101.82,1.22739726027397,103.047397260274
2025-01-07,"CA135087R895",2029-09-01,102.14,1.22739726027397,103.367397260274
2025-01-07,"CA135087Q988",2029-03-01,104.01,1.4027397260274,105.412739726027
2025-01-07,"CA135087K528",2025-03-01,99.73,0.438356164383562,100.168356164384
2025-01-07,"CA135087K940",2025-09-01,98.41,0.175342465753425,98.5853424657534
2025-01-07,"CA135087N837",2027-09-01,99.56,0.964383561643836,100.524383561644
2025-01-07,"CA135087L518",2026-03-01,96.98,0.0876712328767123,97.0676712328767
2025-01-07,"CA135087L930",2026-09-01,96.99,0.350684931506849,97.3406849315068
2025-01-07,"CA135087M847",2027-03-01,96.59,0.438356164383562,97.0283561643836
2025-01-08,"CA135087Q491",2028-09-01,100.99,1.1486301369863,102.138630136986
2025-01-08,"CA135087P576",2028-03-01,101.7,1.23698630136986,102.93698630137
2025-01-08,"CA135087R895",2029-09-01,102.04,1.23698630136986,103.27698630137
2025-01-08,"CA135087Q988",2029-03-01,103.9,1.41369863013699,105.313698630137
2025-01-08,"CA135087K528",2025-03-01,99.74,0.441780821917808,100.181780821918
2025-01-08,"CA135087K940",2025-09-01,98.4,0.176712328767123,98.5767123287671
2025-01-08,"CA135087N837",2027-09-01,99.54,0.971917808219178,100.511917808219
2025-01-08,"CA135087L518",2026-03-01,96.97,0.0883561643835616,97.0583561643836
2025-01-08,"CA135087L930",2026-09-01,97,0.353424657534247,97.3534246575342
2025-01-08,"CA135087M847",2027-03-01,96.58,0.441780821917808,97.0217808219178
2025-01-09,"CA135087Q491",2028-09-01,100.94,1.15753424657534,102.097534246575
2025-01-09,"CA135087P576",2028-03-01,101.72,1.24657534246575,102.966575342466
2025-01-09,"CA135087R895",2029-09-01,101.98,1.24657534246575,103.226575342466
2025-01-09,"CA135087Q988",2029-03-01,103.87,1.42465753424658,105.294657534247
2025-01-09,"CA135087K528",2025-03-01,99.73,0.445205479452055,100.175205479452
2025-01-09,"CA135087K940",2025-09-01,98.42,0.178082191780822,98.5980821917808
2025-01-09,"CA135087N837",2027-09-01,99.58,0.97945205479452,100.559452054795
2025-01-09,"CA135087L518",2026-03-01,97,0.089041095890411,97.0890410958904
2025-01-09,"CA135087L930",2026-09-01,97.03,0.356164383561644,97.3861643835616
2025-01-09,"CA135087M847",2027-03-01,96.63,0.445205479452055,97.075205479452
2025-01-10,"CA135087Q491",2028-09-01,100.79,1.16643835616438,101.956438356164
2025-01-10,"CA135087P576",2028-03-01,101.52,1.25616438356164,102.776164383562
2025-01-10,"CA135087R895",2029-09-01,101.59,1.25616438356164,102.846164383562
2025-01-10,"CA135087Q988",2029-03-01,103.53,1.43561643835616,104.965616438356
2025-01-10,"CA135087K528",2025-03-01,99.74,0.448630136986301,100.188630136986
2025-01-10,"CA135087K940",2025-09-01,98.37,0.179452054794521,98.5494520547945
