ISIN,Issue.Date,Coupon,Maturity.Date,URL,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,data_url
CA135087Q491,2023-04-21,3.25%,2028-09-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,126528699,1330,184&from=20241118&to=20250118"
CA135087P576,2022-10-21,3.50%,2028-03-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576,101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20241118&to=20250118"
CA135087R895,2024-04-08,3.50%,2029-09-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895,102.22,102.14,102.04,101.98,101.59,101.28,101,101.27,101.85,101.97,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,134387959,1330,184&from=20241118&to=20250118"
CA135087Q988,2023-10-13,4.00%,2029-03-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988,104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130328741,1330,184&from=20241118&to=20250118"
CA135087K528,2019-10-11,1.25%,2025-03-01,https://markets.businessinsider.com/bonds/canadacd-bonds_201925-Bond-2025-ca135087k528,99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,50546643,1330,184&from=20241118&to=20250118"
CA135087K940,2020-04-03,0.50%,2025-09-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202025-Bond-2025-ca135087k940,98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,53991397,1330,184&from=20241118&to=20250118"
CA135087N837,2022-05-13,2.75%,2027-09-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837,99.63,99.56,99.54,99.58,99.27,99.13,99.02,99.2,99.5,99.53,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20241118&to=20250118"
CA135087L518,2020-10-09,0.25%,2026-03-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518,96.99,96.98,96.97,97,96.9,96.91,96.8,96.9,97.01,97.06,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57601476,1330,184&from=20241118&to=20250118"
CA135087L930,2021-04-16,1.00%,2026-09-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930,97.01,96.99,97,97.03,96.86,96.77,96.71,96.85,97.03,97.07,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20241118&to=20250118"
CA135087M847,2021-10-15,1.25%,2027-03-01,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847,96.62,96.59,96.58,96.63,96.39,96.28,96.19,96.36,96.6,96.64,"https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20241118&to=20250118"
