"Maturity","YTM","Date"
2025-03-01,11.5926762873356,2025-01-06
2025-09-01,3.23385632283824,2025-01-06
2026-03-01,3.0964204082771,2025-01-06
2026-09-01,2.90157552840841,2025-01-06
2027-03-01,2.89335322125292,2025-01-06
2027-09-01,2.81650087907991,2025-01-06
2028-03-01,2.79249479335081,2025-01-06
2028-09-01,2.8528024152827,2025-01-06
2029-03-01,2.86223415698149,2025-01-06
2029-09-01,2.91920440133789,2025-01-06
2025-03-01,11.5926762873356,2025-01-07
2025-09-01,3.21607206714281,2025-01-07
2026-03-01,3.10615226374975,2025-01-07
2026-09-01,2.91492019750184,2025-01-07
2027-03-01,2.90876435655477,2025-01-07
2027-09-01,2.84491765947814,2025-01-07
2028-03-01,2.79249479335081,2025-01-07
2028-09-01,2.8410447069005,2025-01-07
2029-03-01,2.87758678764107,2025-01-07
2029-09-01,2.93777207638959,2025-01-07
2025-03-01,11.4588175974639,2025-01-08
2025-09-01,3.23385632283824,2025-01-08
2026-03-01,3.1158855862158,2025-01-08
2026-09-01,2.90824736748077,2025-01-08
2027-03-01,2.91390292090387,2025-01-08
2027-09-01,2.85304120281632,2025-01-08
2028-03-01,2.83307534938831,2025-01-08
2028-09-01,2.88516433228267,2025-01-08
2029-03-01,2.90576023720433,2025-01-08
2029-09-01,2.96100530125773,2025-01-08
2025-03-01,11.5926762873356,2025-01-09
2025-09-01,3.19829117313405,2025-01-09
2026-03-01,3.08669001944368,2025-01-09
2026-09-01,2.88823482149256,2025-01-09
2027-03-01,2.88821769431428,2025-01-09
2027-09-01,2.83679610053198,2025-01-09
2028-03-01,2.82630794767066,2025-01-09
2028-09-01,2.89988799593697,2025-01-09
2029-03-01,2.91344996871087,2025-01-09
2029-09-01,2.97495785957094,2025-01-09
2025-03-01,11.4588175974639,2025-01-10
2025-09-01,3.2872292696762,2025-01-10
2026-03-01,3.18405994905522,2025-01-10
2026-09-01,2.99565383261223,2025-01-10
2027-03-01,3.01149125354881,2025-01-10
2027-09-01,2.96290370855167,2025-01-10
2028-03-01,2.89405368230285,2025-01-10
2028-09-01,2.94411048048844,2025-01-10
2029-03-01,3.00078246861256,2025-01-10
2029-09-01,3.06588110667443,2025-01-10
2025-03-01,11.5926762873356,2025-01-13
2025-09-01,3.30502698175118,2025-01-13
2026-03-01,3.17431634771343,2025-01-13
2026-09-01,3.05587047172411,2025-01-13
2027-03-01,3.0678777741819,2025-01-13
2027-09-01,3.02001261847039,2025-01-13
2028-03-01,2.9823621552142,2025-01-13
2028-09-01,3.03278799710377,2025-01-13
2029-03-01,3.06263139702904,2025-01-13
2029-09-01,3.1384412704166,2025-01-13
2025-03-01,11.5926762873356,2025-01-14
2025-09-01,3.30502698175118,2025-01-14
2026-03-01,3.28157686166637,2025-01-14
2026-09-01,3.09605989161645,2025-01-14
2027-03-01,3.11407208175067,2025-01-14
2027-09-01,3.06495276104373,2025-01-14
2028-03-01,3.06411869946877,2025-01-14
2028-09-01,3.12177723829773,2025-01-14
2029-03-01,3.14017959326014,2025-01-14
2029-09-01,3.20420004132992,2025-01-14
2025-03-01,11.0578431445474,2025-01-15
2025-09-01,3.23385632283824,2025-01-15
2026-03-01,3.18405994905522,2025-01-15
2026-09-01,3.00234057841525,2025-01-15
2027-03-01,3.02686142188649,2025-01-15
2027-09-01,2.99144591104385,2025-01-15
2028-03-01,2.98916634491377,2025-01-15
2028-09-01,3.05352419780363,2025-01-15
2029-03-01,3.07553777046947,2025-01-15
2029-09-01,3.14078618553363,2025-01-15
2025-03-01,10.9243852484148,2025-01-16
2025-09-01,3.10943709471306,2025-01-16
2026-03-01,3.07696109689548,2025-01-16
2026-09-01,2.88823482149256,2025-01-16
2027-03-01,2.90362655204725,2025-01-16
2027-09-01,2.86929424620854,2025-01-16
2028-03-01,2.87371321338148,2025-01-16
2028-09-01,2.90577986221085,2025-01-16
2029-03-01,2.9314027957611,2025-01-16
2029-09-01,3.00522094429206,2025-01-16
2025-03-01,10.6577693279713,2025-01-17
2025-09-01,3.05616492634564,2025-01-17
2026-03-01,3.0283384660476,2025-01-17
2026-09-01,2.8615652812569,2025-01-17
2027-03-01,2.88308292591347,2025-01-17
2027-09-01,2.85710371890893,2025-01-17
2028-03-01,2.8500008196896,2025-01-17
2028-09-01,2.8763342468424,2025-01-17
2029-03-01,2.90576023720433,2025-01-17
2029-09-01,2.97728420745456,2025-01-17
